Zone,Population_2017,Croissance_demo,Proteines_totales,Kcal_totales,Volaille_kg_hab,Taux_dependance_import,Ratio_proteines_animales,Code zone,ISO3,PIB_par_hab_2017,Stabilite_politique_2017
Afghanistan,36296.113,74.66888880836254,54.09,1997.0,1.53,0.30087852566219697,0.19504529487890554,2,AFG,525.469770891619,-2.61393089999999
Afrique du Sud,57009.756,26.779323509216884,83.36,2987.0,35.69,0.13494913225613406,0.40870921305182345,202,ZAF,6618.33508255701,-0.3828321
Albanie,2884.169,-7.831734384322345,119.5,3400.0,16.36,0.18118466898954705,0.5520502092050209,3,ALB,5006.36012951959,0.1638298
Algérie,41389.189,33.331858997910416,92.85,3345.0,6.38,0.43465226496197507,0.2758212170166936,4,DZA,4554.66753957828,-0.929504599999999
Allemagne,82658.409,1.5448567252625123,104.07000000000001,3559.0,19.47,0.3803726566072245,0.5883539925050447,79,DEU,45553.9341495339,0.7022243
Angola,29816.766,81.85974872454119,54.09,2266.0,10.56,0.12893511331884508,0.2771307080791274,7,AGO,2790.71886869768,-0.537214499999999
Antigua-et-Barbuda,95.426,25.53409808461376,81.15,2429.0,54.1,0.8452380952380952,0.6478126925446703,8,ATG,16965.7288273816,0.614623
Arabie saoudite,33101.179,60.1888816131636,87.51,3194.0,43.36,0.8151714347436966,0.4180093703576734,194,SAU,23929.2907135982,-0.667506399999999
Argentine,43937.14,19.165180824591577,102.66,3239.0,42.24,0.024511008630535035,0.6335476329631794,9,ARG,14532.5009308511,0.2394066
Arménie,2944.791,-4.0656882301257635,97.33,3072.0,16.06,0.19301848049281314,0.4549470872290147,1,ARM,3869.05373867752,-0.3015882
Australie,24584.62,29.451119296908164,108.01,3307.0,47.65,0.08263497645050756,0.6496620683270068,10,AUS,54117.547718609,0.7831479
Autriche,8819.901,9.3022595831398,108.11,3694.0,18.2,0.4939075192668194,0.5912496531310701,11,AUT,47163.7425775142,0.9266955
Azerbaïdjan,9845.32,21.206868469645894,92.3,3102.0,13.11,0.2135612171551793,0.3251354279523294,52,AZE,4147.1981423222,-0.455635299999999
Bahamas,381.755,28.083784318791082,61.370000000000005,2043.0,43.17,0.5467836257309941,0.6708489489978817,12,BHS,31875.4881749619,0.8186672
Bangladesh,159685.424,25.088601285746186,60.22,2596.0,1.5,0.17477052240610522,0.19578213218199933,16,BGD,1811.08221668646,-1.3289506
Barbade,286.232,5.420326685450175,88.74,2896.0,46.78,0.5872235872235873,0.5578093306288032,14,BRB,20284.5762052461,0.8399905
Belgique,11419.748,11.065078277807514,101.35000000000001,3770.0,12.65,1.207287172961733,0.5470152935372472,255,BEL,44035.3239358548,0.3647602
Belize,375.769,51.939429472535025,67.11,2694.0,25.69,0.047991653625456446,0.3731187602443749,23,BLZ,6071.85451846453,0.0274572
Bolivie (État plurinational de),11192.855,32.95918255830419,68.4,2354.0,36.0,0.0405467291365766,0.4533625730994152,19,BOL,4048.40119739839,-0.2207409
