Country Name,Country Code,Series Name,Series Code,2017 [YR2017]
Afghanistan,AFG,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-2.61393089999999
Albania,ALB,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.1638298
Algeria,DZA,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.929504599999999
American Samoa,ASM,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.2555945
Andorra,AND,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.3250909
Angola,AGO,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.537214499999999
Anguilla,AIA,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.2217632
Antigua and Barbuda,ATG,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.614623
Argentina,ARG,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.2394066
Armenia,ARM,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.3015882
Aruba,ABW,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.2066651
Australia,AUS,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.7831479
Austria,AUT,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.9266955
Azerbaijan,AZE,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.455635299999999
"Bahamas, The",BHS,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.8186672
Bahrain,BHR,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-1.0066263
Bangladesh,BGD,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-1.3289506
Barbados,BRB,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.8399905
Belarus,BLR,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.0265511
Belgium,BEL,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.3647602
Belize,BLZ,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.0274572
Benin,BEN,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.3155886
Bermuda,BMU,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.8126545
Bhutan,BTN,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.1177867
Bolivia,BOL,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.2207409
Bosnia and Herzegovina,BIH,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.3110983
Botswana,BWA,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.0166207
Brazil,BRA,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.602133799999999
Brunei Darussalam,BRN,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.0788022
Bulgaria,BGR,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.4061393
Burkina Faso,BFA,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.855665599999999
Burundi,BDI,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-2.0904201
Cabo Verde,CPV,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.7203252
Cambodia,KHM,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.153852799999999
Cameroon,CMR,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-1.1934513
Canada,CAN,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.0192144
Cayman Islands,CYM,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.974877
Central African Republic,CAF,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-1.82651039999999
Chad,TCD,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-1.36771589999999
Chile,CHL,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.5894191
China,CHN,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.203288
Colombia,COL,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.779948499999999
Comoros,COM,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.1999982
"Congo, Dem. Rep.",COD,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-2.26337839999999
"Congo, Rep.",COG,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.7695685
Cook Islands,COK,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,..
Costa Rica,CRI,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.7405908
Cote d'Ivoire,CIV,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-1.0411412
Croatia,HRV,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.6251591
Cuba,CUB,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.5729674
Cyprus,CYP,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.6738103
Czechia,CZE,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.0199948
Denmark,DNK,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.9149035
Djibouti,DJI,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.7552217
Dominica,DMA,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.1093885
Dominican Republic,DOM,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.0918722
Ecuador,ECU,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.1273984
"Egypt, Arab Rep.",EGY,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-1.4711477
El Salvador,SLV,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.3360373
Equatorial Guinea,GNQ,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.3950453
Eritrea,ERI,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.834184199999999
Estonia,EST,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.8425161
Eswatini,SWZ,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.380332699999999
Ethiopia,ETH,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-1.5195725
Fiji,FJI,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.3819841
Finland,FIN,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.1388152
France,FRA,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.229972
French Guiana,GUF,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.3135074
French Polynesia,PYF,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,..
Gabon,GAB,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.4524644
"Gambia, The",GMB,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.196953699999999
Georgia,GEO,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.1125587
Germany,DEU,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.7022243
Ghana,GHA,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.0663948999999999
Greece,GRC,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.00694
Greenland,GRL,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.7529215
Grenada,GRD,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.9134729
Guam,GUM,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.8126545
Guatemala,GTM,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.700759599999999
Guinea,GIN,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.800407099999999
Guinea-Bissau,GNB,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.582037399999999
Guyana,GUY,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.0051392
Haiti,HTI,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.834199999999999
Honduras,HND,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.9065696
"Hong Kong SAR, China",HKG,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.6833963
Hungary,HUN,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.7324048
Iceland,ISL,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.2503574
India,IND,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.572111399999999
Indonesia,IDN,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.5816146
"Iran, Islamic Rep.",IRN,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.699442999999999
Iraq,IRQ,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-2.1677252
Ireland,IRL,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.9418026
Israel,ISR,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.4501475
Italy,ITA,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.2543499
Jamaica,JAM,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.1291365
Japan,JPN,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.169376
Jersey,JEY,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.4496687
Jordan,JOR,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.444359699999999
Kazakhstan,KAZ,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.0563947
Kenya,KEN,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-1.1322093
Kiribati,KIR,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.9519508
"Korea, Dem. People's Rep.",PRK,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.3543859
"Korea, Rep.",KOR,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.6254761
Kosovo,XKX,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.1718171
Kuwait,KWT,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.0018547
Kyrgyz Republic,KGZ,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.2975366
Lao PDR,LAO,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.2776591
Latvia,LVA,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.6631827
Lebanon,LBN,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-1.3393518
Lesotho,LSO,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.2021614
Liberia,LBR,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.2701752
Libya,LBY,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-2.29431519999999
Liechtenstein,LIE,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.5026105
Lithuania,LTU,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.8922634
Luxembourg,LUX,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.2715421
"Macao SAR, China",MAC,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.3135357
Madagascar,MDG,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.535016199999999
Malawi,MWI,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.313000899999999
Malaysia,MYS,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.011848
Maldives,MDV,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.0431782999999999
Mali,MLI,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-1.71864139999999
Malta,MLT,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.082828
Marshall Islands,MHL,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.1385207
Martinique,MTQ,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.8126545
Mauritania,MRT,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.7637873
Mauritius,MUS,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.0144918
Mexico,MEX,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-1.0455954
"Micronesia, Fed. Sts.",FSM,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.0690453
Moldova,MDA,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.181840299999999
Monaco,MCO,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.5452189
Mongolia,MNG,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.716039
Montenegro,MNE,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.0506422
Morocco,MAR,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.5065227
Mozambique,MOZ,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-1.06530219999999
Myanmar,MMR,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-1.24136
Namibia,NAM,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.6294292
Nauru,NRU,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.8241821
Nepal,NPL,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.5502541
Netherlands,NLD,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.7820237
Netherlands Antilles,ANT,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.7119725
New Caledonia,NCL,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,..
New Zealand,NZL,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.4924848
Nicaragua,NIC,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.181501599999999
Niger,NER,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-1.0412801
Nigeria,NGA,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-1.90978539999999
Niue,NIU,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,..
North Macedonia,MKD,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.249481799999999
Norway,NOR,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.0956942
Oman,OMN,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.5468563
Pakistan,PAK,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-2.2184098
Palau,PLW,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.1385207
Panama,PAN,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.457992
Papua New Guinea,PNG,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.8689907
Paraguay,PRY,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.0283019999999999
Peru,PER,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.2242779
Philippines,PHL,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-1.2792545
Poland,POL,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.6020499
Portugal,PRT,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.054818
Puerto Rico (US),PRI,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.4048918
Qatar,QAT,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.8357284
Reunion,REU,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.2891555
Romania,ROU,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.1382404
Russian Federation,RUS,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.5386198
Rwanda,RWA,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.094453
Samoa,WSM,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.0690453
San Marino,SMR,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.3250909
Sao Tome and Principe,STP,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.2145007
Saudi Arabia,SAU,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.667506399999999
Senegal,SEN,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.1422197
Serbia,SRB,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.1168497
Seychelles,SYC,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.813523
Sierra Leone,SLE,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.1470976
Singapore,SGP,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.3859813
Slovak Republic,SVK,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.8542516
Slovenia,SVN,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.9455099
